"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
710,IRRI,IRIS 313-8026,GIOVANNI MARCHETTI::GERVEX 62-C1-G1,,GIOVANNI MARCHETTI,,Italy,IRGC 122056,GIOVANNI MARCHETTI::GERVEX 62-C1,31909244,31909244,6.6,Temperate japonica,ERS468462,
711,IRRI,IRIS 313-8209,ALEXANDROS::GERVEX 1678-C1-G1,,ALEXANDROS,,Greece,IRGC 121962,ALEXANDROS::GERVEX 1678-C1,35304166,35304166,7.3,Temperate japonica,ERS468463,
712,IRRI,IRIS 313-8114,FAISCA::GERVEX 900-C1-G1,,FAISCA,,Portugal,IRGC 122045,FAISCA::GERVEX 900-C1,46786108,46786108,9.7,Temperate japonica,ERS468464,
713,IRRI,IRIS 313-8029,GRITNA::GERVEX 71-C1-G1,,GRITNA,,Italy,IRGC 122073,GRITNA::GERVEX 71-C1,37367766,37367766,7.8,Intermediate type,ERS468465,
714,IRRI,IRIS 313-8113,ESCARLATE::GERVEX 887-C1-G1,,ESCARLATE,,Portugal,IRGC 122043,ESCARLATE::GERVEX 887-C1,51075086,51075086,10.6,Temperate japonica,ERS468466,
715,IRRI,IRIS 313-8067,MEDUSA::GERVEX 323-C1-G1,,MEDUSA,,Italy,IRGC 122165,MEDUSA::GERVEX 323-C1,25655554,25655554,5.3,Temperate japonica,ERS468467,
716,IRRI,IRIS 313-8195,LUXOR::GERVEX 1662-C1-G1,,LUXOR,,Italy,IRGC 122153,LUXOR::GERVEX 1662-C1,58073130,58073130,12.1,Temperate japonica,ERS468468,
717,IRRI,IRIS 313-8214,MELAS::GERVEX 1684-C1-G1,,MELAS,,Greece,IRGC 122167,MELAS::GERVEX 1684-C1,63220102,63220102,13.1,Temperate japonica,ERS468469,
718,IRRI,IRIS 313-8186,JACINTO::GERVEX 1653-C1-G1,,JACINTO,,United States,IRGC 122122,JACINTO::GERVEX 1653-C1,34158810,34158810,7.1,Temperate japonica,ERS468470,
719,IRRI,IRIS 313-8109,CAMPINO::GERVEX 824-C1-G1,,CAMPINO,,Portugal,IRGC 121996,CAMPINO::GERVEX 824-C1,55074532,55074532,11.4,Tropical japonica,ERS468471,
720,IRRI,IRIS 313-8025,ITALPATNA 48::GERVEX 60-C1-G1,,ITALPATNA 48,,Italy,IRGC 122121,ITALPATNA 48::GERVEX 60-C1,68007282,68007282,14.1,Temperate japonica,ERS468472,
721,IRRI,IRIS 313-8074,GOOLARAH::GERVEX 500-C1-G1,,GOOLARAH,,Australia,IRGC 122067,GOOLARAH::GERVEX 500-C1,74420774,74420774,15.4,Temperate japonica,ERS468473,
722,IRRI,IRIS 313-8097,ULLAL::GERVEX 556-C1-G1,,ULLAL,,Spain,IRGC 122271,ULLAL::GERVEX 556-C1,49267910,49267910,10.2,Temperate japonica,ERS468474,
723,IRRI,IRIS 313-8118,IBO 400::GERVEX 943-C1-G1,,IBO 400,,Portugal,IRGC 122085,IBO 400::GERVEX 943-C1,73950380,73950380,15.3,Temperate japonica,ERS468475,
724,IRRI,IRIS 313-8145,SUPER::GERVEX 1304-C1-G1,,SUPER,,Portugal,IRGC 122257,SUPER::GERVEX 1304-C1,42442970,42442970,8.8,Temperate japonica,ERS468476,
725,IRRI,IRIS 313-8053,RUBIDIO::GERVEX 146-C1-G1,,RUBIDIO,,Italy,IRGC 122228,RUBIDIO::GERVEX 146-C1,54679332,54679332,11.3,Temperate japonica,ERS468477,
726,IRRI,IRIS 313-8065,SAMBA::GERVEX 186-C1-G1,,SAMBA,,Italy,IRGC 122238,SAMBA::GERVEX 186-C1,61988176,61988176,12.9,Temperate japonica,ERS468478,
727,IRRI,IRIS 313-8124,OTA::GERVEX 1145-C1-G1,,OTA,,Portugal,IRGC 122187,OTA::GERVEX 1145-C1,68006074,68006074,14.1,Tropical japonica,ERS468479,
728,IRRI,IRIS 313-8126,PLOVDIV 24::GERVEX 1168-C1-G1,,PLOVDIV 24,,Bulgaria,IRGC 122204,PLOVDIV 24::GERVEX 1168-C1,65852618,65852618,13.7,Temperate japonica,ERS468480,
729,IRRI,IRIS 313-8141,SELN 244 A 6-20::GERVEX 1273-C1-G1,,SELN 244 A6-20,,Australia,IRGC 122244,SELN 244 A 6-20::GERVEX 1273-C1,64851176,64851176,13.5,Temperate japonica,ERS468481,
730,IRRI,IRIS 313-8127,POLIZESTI 28::GERVEX 1170-C1-G1,,POLIZESTI 28,,Bulgaria,IRGC 122207,POLIZESTI 28::GERVEX 1170-C1,76853510,76853510,15.9,Temperate japonica,ERS468482,
731,IRRI,IRIS 313-8116,HAREM::GERVEX 929-C1-G1,,HAREM,,Portugal,IRGC 122077,HAREM::GERVEX 929-C1,67092772,67092772,13.9,Temperate japonica,ERS468483,
732,IRRI,IRIS 313-8216,ROXANI::GERVEX 1686-C1-G1,,ROXANI,,Greece,IRGC 122222,ROXANI::GERVEX 1686-C1,32179088,32179088,6.7,Indica,ERS468484,
733,IRRI,IRIS 313-8142,SETTANTUNO::GERVEX 1279-C1-G1,,SETTANTUNO,,Portugal,IRGC 122249,SETTANTUNO::GERVEX 1279-C1,60272108,60272108,12.5,Temperate japonica,ERS468485,
734,IRRI,IRIS 313-8068,ORIONE::GERVEX 333-C1-G1,,ORIONE,,Italy,IRGC 122184,ORIONE::GERVEX 333-C1,49317572,49317572,10.2,Temperate japonica,ERS468486,
735,IRRI,IRIS 313-8039,LOTO::GERVEX 104-C1-G1,,LOTO,,Italy,IRGC 122151,LOTO::GERVEX 104-C1,48437110,48437110,10.1,Temperate japonica,ERS468487,
736,IRRI,IRIS 313-8111,CARRICO::GERVEX 828-C1-G1,,CARRICO,,Portugal,IRGC 122001,CARRICO::GERVEX 828-C1,64653058,64653058,13.4,Temperate japonica,ERS468488,
737,IRRI,IRIS 313-8085,CLOT::GERVEX 523-C1-G1,,CLOT,,Spain,IRGC 122016,CLOT::GERVEX 523-C1,73945560,73945560,15.3,Temperate japonica,ERS468489,
738,IRRI,IRIS 313-8024,RIBE 253::GERVEX 54-C1-G1,,RIBE 253,,Italy,IRGC 122217,RIBE 253::GERVEX 54-C1,70267114,70267114,14.6,Temperate japonica,ERS468490,
739,IRRI,IRIS 313-8052,SMERALDO::GERVEX 138-C1-G1,,SMERALDO,,Italy,IRGC 122253,SMERALDO::GERVEX 138-C1,59229704,59229704,12.3,Tropical japonica,ERS468491,
740,IRRI,IRIS 313-8136,SAFARI::GERVEX 1256-C1-G1,,SAFARI,,Portugal,IRGC 121819,SAFARI::GERVEX 1256-C1,47737358,47737358,9.9,Temperate japonica,ERS468492,
741,IRRI,IRIS 313-8095,SHSS 53::GERVEX 550-C1-G1,,SHSS 53,,Spain,IRGC 122251,SHSS 53::GERVEX 550-C1,51109034,51109034,10.6,Tropical japonica,ERS468493,
742,IRRI,IRIS 313-8138,SALOIO::GERVEX 1259-C1-G1,,SALOIO,,Portugal,IRGC 122235,SALOIO::GERVEX 1259-C1,55038208,55038208,11.4,Temperate japonica,ERS468494,
743,IRRI,IRIS 313-8076,PELDE::GERVEX 502-C1-G1,,PELDE,,Australia,IRGC 122198,PELDE::GERVEX 502-C1,63433476,63433476,13.2,Temperate japonica,ERS468495,
744,IRRI,IRIS 313-8105,THAIPERLA::GERVEX 696-C1-G1,,THAIPERLA,,United States,IRGC 122265,THAIPERLA::GERVEX 696-C1,55941374,55941374,11.6,Temperate japonica,ERS468496,
745,IRRI,IRIS 313-8087,FRANCES::GERVEX 527-C1-G1,,FRANCES,,Spain,IRGC 122051,FRANCES::GERVEX 527-C1,,,,Temperate japonica,ERS468497,
746,IRRI,IRIS 313-8151,VALTEJO::GERVEX 1355-C1-G1,,VALTEJO,,Portugal,IRGC 122273,VALTEJO::GERVEX 1355-C1,94396462,94396462,19.6,Temperate japonica,ERS468498,
747,IRRI,IRIS 313-8149,TOPAZIO::GERVEX 1332-C1-G1,,TOPAZIO,,Portugal,IRGC 122268,TOPAZIO::GERVEX 1332-C1,58409632,58409632,12.1,Temperate japonica,ERS468499,
748,IRRI,IRIS 313-8200,OPALE::GERVEX 1667-C1-G1,,OPALE,,Italy,IRGC 122183,OPALE::GERVEX 1667-C1,68333498,68333498,14.2,Temperate japonica,ERS468500,
749,IRRI,IRIS 313-8121,MESTRE::GERVEX 1082-C1-G1,,MESTRE,,Italy,IRGC 122169,MESTRE::GERVEX 1082-C1,66319700,66319700,13.8,Temperate japonica,ERS468501,
750,IRRI,IRIS 313-8032,PIEMONTE::GERVEX 81-C1-G1,,PIEMONTE,,Italy,IRGC 122202,PIEMONTE::GERVEX 81-C1,47951662,47951662,9.9,Temperate japonica,ERS468502,
751,IRRI,IRIS 313-8066,GHIBLI::GERVEX 187-C1-G1,,GHIBLI,,Italy,IRGC 122053,GHIBLI::GERVEX 187-C1,71175084,71175084,14.8,Temperate japonica,ERS468503,
752,IRRI,IRIS 313-8046,PLUS::GERVEX 122-C1-G1,,PLUS,,Italy,IRGC 122205,PLUS::GERVEX 122-C1,42371166,42371166,8.8,Temperate japonica,ERS468504,
753,IRRI,IRIS 313-8049,LORD::GERVEX 127-C1-G1,,LORD,,Italy,IRGC 122150,LORD::GERVEX 127-C1,63909532,63909532,13.3,Temperate japonica,ERS468505,
754,IRRI,IRIS 313-8129,RODINA::GERVEX 1234-C1-G1,,RODINA,,Bulgaria,IRGC 122219,RODINA::GERVEX 1234-C1,71843912,71843912,14.9,Temperate japonica,ERS468506,
755,IRRI,IRIS 313-8123,MUGA::GERVEX 1099-C1-G1,,MUGA,,Portugal,IRGC 122175,MUGA::GERVEX 1099-C1,75233604,75233604,15.6,Temperate japonica,ERS468507,
756,IRRI,IRIS 313-8050,MIARA::GERVEX 129-C1-G1,,MIARA,,Italy,IRGC 122170,MIARA::GERVEX 129-C1,29111632,26888019,5.6,Japonica,ERS468508,
757,IRRI,IRIS 313-8041,GRALDO::GERVEX 108-C1-G1,,GRALDO,,Italy,IRGC 122071,GRALDO::GERVEX 108-C1,57162792,57162792,11.9,Temperate japonica,ERS468509,
758,IRRI,IRIS 313-8173,A 201::GERVEX 1638-C1-G1,,A 201,,United States,IRGC 121959,A 201::GERVEX 1638-C1,99859876,99859876,20.7,Temperate japonica,ERS468510,
759,IRRI,IRIS 313-8148,TIMICH 108::GERVEX 1325-C1-G1,,TIMICH 108,,Romania,IRGC 122267,TIMICH 108::GERVEX 1325-C1,64995378,64995378,13.5,Temperate japonica,ERS468511,
760,IRRI,IRIS 313-8099,FLIPPER::GERVEX 597-C1-G1,,FLIPPER,,Italy,IRGC 122049,FLIPPER::GERVEX 597-C1,55791814,55791814,11.6,Temperate japonica,ERS468512,
761,IRRI,IRIS 313-8135,SAEDINENIE::GERVEX 1255-C1-G1,,SAEDINENIE,,Bulgaria,IRGC 121818,SAEDINENIE::GERVEX 1255-C1,58643474,58643474,12.2,Tropical japonica,ERS468513,
762,IRRI,IRIS 313-8090,MARENY::GERVEX 535-C1-G1,,MARENY,,Spain,IRGC 122162,MARENY::GERVEX 535-C1,60799498,60799498,12.6,Temperate japonica,ERS468514,
763,IRRI,IRIS 313-8204,S 102::GERVEX 1671-C1-G1,,S 102,,United States,IRGC 121817,S 102::GERVEX 1671-C1,70182948,70182948,14.6,Temperate japonica,ERS468515,
764,IRRI,IRIS 313-8031,RUBINO::GERVEX 80-C1-G1,,RUBINO,,Italy,IRGC 122230,RUBINO::GERVEX 80-C1,40863928,40863928,8.5,Tropical japonica,ERS468516,
765,IRRI,IRIS 313-8119,JUBILIENI::GERVEX 992-C1-G1,,JUBILIENI,,Bulgaria,IRGC 122126,JUBILIENI::GERVEX 992-C1,83714028,83714028,17.4,Temperate japonica,ERS468517,
766,IRRI,IRIS 313-8044,GOLFO::GERVEX 118-C1-G1,,GOLFO,,Italy,IRGC 122065,GOLFO::GERVEX 118-C1,41722736,41722736,8.7,Temperate japonica,ERS468518,
767,IRRI,IRIS 313-8084,CAPATAZ::GERVEX 521-C1-G1,,CAPATAZ,,Spain,IRGC 121998,CAPATAZ::GERVEX 521-C1,51867738,51867738,10.8,Tropical japonica,ERS468519,
768,IRRI,IRIS 313-8171,AUZGUSTA::GERVEX 1634-C1-G1,,AUGUSTZA,,Hungary,IRGC 121972,AUZGUSTA::GERVEX 1634-C1,57727210,57727210,12.0,Temperate japonica,ERS468520,
769,IRRI,IRIS 313-8180,DELLMONT::GERVEX 1647-C1-G1,,DELLMONT,,United States,IRGC 122035,DELLMONT::GERVEX 1647-C1,64912020,64912020,13.5,Temperate japonica,ERS468521,
770,IRRI,IRIS 313-8048,RONCOLO::GERVEX 124-C1-G1,,RONCOLO,,Italy,IRGC 122221,RONCOLO::GERVEX 124-C1,47092270,47092270,9.8,Temperate japonica,ERS468522,
771,IRRI,IRIS 313-8075,HARRA::GERVEX 501-C1-G1,,HARRA,,Australia,IRGC 122078,HARRA::GERVEX 501-C1,62905532,62905532,13.1,Tropical japonica,ERS468523,
772,IRRI,IRIS 313-8072,CENTURY PATNA::GERVEX 477-C1-G1,,CENTURY PATNA,,United States,IRGC 122002,CENTURY PATNA::GERVEX 477-C1,63642042,63642042,13.2,Tropical japonica,ERS468524,
773,IRRI,IRIS 313-8183,DREW::GERVEX 1650-C1-G1,,DREW,,United States,IRGC 122304,DREW::GERVEX 1650-C1,50709308,50709308,10.5,Temperate japonica,ERS468525,
774,IRRI,IRIS 313-8154,GIGANTE VERCELLI::GERVEX 1408-C1-G1,,GIGANTE VERCELLI,,Italy,IRGC 122055,GIGANTE VERCELLI::GERVEX 1408-C1,46104508,46104508,9.6,Intermediate type,ERS468526,
775,IRRI,IRIS 313-8208,LUSITO IRRADIADO 859-85-2::GERVEX 1676-C1-G1,,LUSITO IRRADIADO 859-85-2,,Portugal,IRGC 122152,LUSITO IRRADIADO 859-85-2::GERVEX 1676-C1,70388352,70388352,14.6,Temperate japonica,ERS468527,
776,IRRI,IRIS 313-8184,FRAGANCE::GERVEX 1651-C1-G1,,FRAGRANCE,,Italy,IRGC 122050,FRAGANCE::GERVEX 1651-C1,54497818,54497818,11.3,Indica,ERS468528,
777,IRRI,IRIS 313-8177,AUGUSTO::GERVEX 1643-C1-G1,,AUGUSTO,,Italy,IRGC 121971,AUGUSTO::GERVEX 1643-C1,74543182,74543182,15.5,Temperate japonica,ERS468529,
778,IRRI,IRIS 313-8069,ARIANA::GERVEX 396-C1-G1,,ARIANA,,Romania,IRGC 121966,ARIANA::GERVEX 396-C1,64617678,64617678,13.4,Temperate japonica,ERS468530,
779,IRRI,IRIS 313-8112,CHIPKA::GERVEX 837-C1-G1,,CHIPKA,,Bulgaria,IRGC 122007,CHIPKA::GERVEX 837-C1,56918122,56918122,11.8,Temperate japonica,ERS468531,
780,IRRI,IRIS 313-8115,FAMILIA 181::GERVEX 901-C1-G1,,FAMILIA 181,,Portugal,IRGC 122046,FAMILIA 181::GERVEX 901-C1,71181070,71181070,14.8,Temperate japonica,ERS468532,
781,IRRI,IRIS 313-8027,ANSEATICO::GERVEX 67-C1-G1,,ANSEATICO,,Italy,IRGC 121964,ANSEATICO::GERVEX 67-C1,67537828,67537828,14.0,Tropical japonica,ERS468533,
782,IRRI,IRIS 313-8096,SR 113::GERVEX 553-C1-G1,,SR 113,,Spain,IRGC 122256,SR 113::GERVEX 553-C1,61857246,61857246,12.8,Temperate japonica,ERS468534,
783,IRRI,IRIS 313-8192,L 205::GERVEX 1659-C1-G1,,L 205,,United States,IRGC 122144,L 205::GERVEX 1659-C1,52806664,52806664,11.0,Temperate japonica,ERS468535,
784,IRRI,IRIS 313-8139,SANDOCA::GERVEX 1262-C1-G1,,SANDOCA,,Portugal,IRGC 122240,SANDOCA::GERVEX 1262-C1,27259104,27259104,5.7,Temperate japonica,ERS468536,
785,IRRI,IRIS 313-8102,BLUE BONNET::GERVEX 669-C1-G1,,BLUE BONNET,,United States,IRGC 121984,BLUE BONNET::GERVEX 669-C1,61271742,61271742,12.7,Temperate japonica,ERS468537,
786,IRRI,IRIS 313-8033,LOMELLINO::GERVEX 83-C1-G1,,LOMELLINO,,Italy,IRGC 122149,LOMELLINO::GERVEX 83-C1,59540912,59540912,12.4,Temperate japonica,ERS468538,
787,IRRI,IRIS 313-8125,PLOVDIV 22::GERVEX 1167-C1-G1,,PLOVDIV 22,,Bulgaria,IRGC 122203,PLOVDIV 22::GERVEX 1167-C1,94563058,94563058,19.6,Aus/boro,ERS468539,
788,IRRI,IRIS 313-8023,RIZZOTTO 51/1::GERVEX 50-C1-G1,,RIZZOTTO 51-1,,Italy,IRGC 122218,RIZZOTTO 51/1::GERVEX 50-C1,62195324,62195324,12.9,Temperate japonica,ERS468540,
789,IRRI,IRIS 313-8073,DAWN CI 9534::GERVEX 481-C1-G1,,DAWN CI 9534,,United States,IRGC 122033,DAWN CI 9534::GERVEX 481-C1,44430470,44430470,9.2,Tropical japonica,ERS468541,
790,IRRI,IRIS 313-8132,RUBI::GERVEX 1247-C1-G1,,RUBI,,Portugal,IRGC 122229,RUBI::GERVEX 1247-C1,42882750,42882750,8.9,Temperate japonica,ERS468542,
791,IRRI,IRIS 313-8193,LACASSINE::GERVEX 1660-C1-G1,,LACASSINE,,United States,IRGC 122146,LACASSINE::GERVEX 1660-C1,39101774,39101774,8.1,Japonica,ERS468543,
792,IRRI,IRIS 313-8164,YRM 6-2::GERVEX 1508-C1-G1,,YRM 6-2,,Australia,IRGC 122300,YRM 6-2::GERVEX 1508-C1,51000156,51000156,10.6,Japonica,ERS468544,
793,IRRI,IRIS 313-8202,REXMONT::GERVEX 1669-C1-G1,,REXMONT,,United States,IRGC 122216,REXMONT::GERVEX 1669-C1,59426514,59426514,12.3,Temperate japonica,ERS468545,
794,IRRI,IRIS 313-8143,SLAVA::GERVEX 1287-C1-G1,,SLAVA,,Bulgaria,IRGC 122252,SLAVA::GERVEX 1287-C1,52764292,52764292,10.9,Indica,ERS468546,
795,IRRI,IRIS 313-8155,KULON::GERVEX 1473-C1-G1,,KULON,,Russia,IRGC 122142,KULON::GERVEX 1473-C1,50526638,50526638,10.5,Tropical japonica,ERS468547,
796,IRRI,IRIS 313-8037,DORELLA::GERVEX 100-C1-G1,,DORELLA,,Italy,IRGC 122037,DORELLA::GERVEX 100-C1,75190298,75190298,15.6,Indica,ERS468548,
797,IRRI,IRIS 313-8185,GLADIO::GERVEX 1652-C1-G1,,GLADIO,,Italy,IRGC 122061,GLADIO::GERVEX 1652-C1,68856526,68856526,14.3,Indica,ERS468549,
798,IRRI,IRIS 313-7832,WAS 63-22-5-9-10-1::C1-G1,,WAS 63-22-5-9-10-1,,Senegal,IRGC 122297,WAS 63-22-5-9-10-1::C1,,,,Indica,ERS468550,
799,IRRI,IRIS 313-7665,CT 6510-24-1-2::C1-G1,,CT 6510-24-1-2,,Colombia,IRGC 122025,CT 6510-24-1-2::C1,,,,Indica,ERS468551,
800,IRRI,IRIS 313-7808,WAS 173-B-B-6-2-2::C1-G1,,WAS 173-B-B-6-2-2,,Senegal,IRGC 122285,WAS 173-B-B-6-2-2::C1,,,,Indica,ERS468552,
801,IRRI,IRIS 313-7668,DANAU LAUT TAWAR::C1-G1,,DANAU LAUT TAWAR,,Indonesia,IRGC 122029,DANAU LAUT TAWAR::C1,,,,Indica,ERS468553,
802,IRRI,IRIS 313-7635,SEQ 93::C1-G1,,SEQ93,,,IRGC 122247,SEQ 93::C1,32793640,32793640,6.8,Indica,ERS468554,
803,IRRI,IRIS 313-7725,MADINIKA 1329::GERVEX 8366-C1-G1,,MADINIKA 1329,,Madagascar,IRGC 124407,MADINIKA 1329::GERVEX 8366-C1,,,,Temperate japonica,ERS468555,
804,IRRI,IRIS 313-7681,H 15-23-DA::C1-G1,,H15-23-DA,,Mali,IRGC 122076,H 15-23-DA::C1,,,,Indica,ERS468556,
805,IRRI,IRIS 313-8137,SAGRES::GERVEX 1258-C1-G1,,SAGRES,,Portugal,IRGC 121820,SAGRES::GERVEX 1258-C1,62915886,62915886,13.1,Indica,ERS468557,
806,IRRI,IRIS 313-7819,WAS 203-B-B-2-4-1::C1-G1,,WAS 203-B-B-2-4-1,,Senegal,IRGC 122289,WAS 203-B-B-2-4-1::C1,,,,Indica,ERS468558,
807,IRRI,IRIS 313-7684,IR 1561-228-3-3::IRGC 32627-C1-G1,,IR 1561-228-3-3,,Philippines,IRGC 122088,IR 1561-228-3-3::IRGC 32627-C1,,,,Indica,ERS468559,
808,IRRI,IRIS 313-7688,IR 22::IRGC 11356-C1-G1,,IR 22,,Philippines,IRGC 122091,IR 22::IRGC 11356-C1,,,,Temperate japonica,ERS468560,
809,IRRI,IRIS 313-7799,VARY LAVA DE MAROVATO::GERVEX 8396-C1-G1,,VARY LAVA DE MAROVATO,,Madagascar,IRGC 124428,VARY LAVA DE MAROVATO::GERVEX 8396-C1,,,,Indica,ERS468561,
810,IRRI,IRIS 313-7780,SONA::IRGC 26971-C1-G1,IRGC 26971,SONA(IET 1991),,India,IRGC 122255,SONA::IRGC 26971-C1,,,,Indica,ERS468562,
811,IRRI,IRIS 313-7793,TSIPALA B 160::GERVEX 8378-C1-G1,,TSIPALA B160,,Madagascar,IRGC 124426,TSIPALA B 160::GERVEX 8378-C1,,,,Indica,ERS468563,
812,IRRI,IRIS 313-7691,IR 28::IRGC 30411-C1-G1,,IR 28,,Philippines,IRGC 122094,IR 28::IRGC 30411-C1,,,,Indica,ERS468564,
813,IRRI,IRIS 313-7736,NONA BOKRA::IRGC 22710-C1-G1,IRGC 22710,NONA BOKRA,,India,IRGC 122181,NONA BOKRA::IRGC 22710-C1,,,,Indica,ERS468565,
814,IRRI,IRIS 313-7826,WAS 33-B-B-15-1-4-5::C1-G1,,WAS 33-B-B-15-1-4-5,,Senegal,IRGC 122292,WAS 33-B-B-15-1-4-5::C1,,,,Indica,ERS468566,
815,IRRI,IRIS 313-7816,WAS 199-B-1-2-1::C1-G1,,WAS 199-B-1-2-1,,Senegal,IRGC 122288,WAS 199-B-1-2-1::C1,,,,Indica,ERS468567,
816,IRRI,IRIS 313-7638,ANGIFOTSY 685::GERVEX 4717-C1-G1,,ANGIFOTSY 685,,Madagascar,IRGC 121963,ANGIFOTSY 685::GERVEX 4717-C1,,,,Indica,ERS468568,
817,IRRI,IRIS 313-7807,WAS 170-B-B-1-1::C1-G1,,WAS 170-B-B-1-1,,Senegal,IRGC 122284,WAS 170-B-B-1-1::C1,,,,Indica,ERS468569,
818,IRRI,IRIS 313-7698,IR 57920-AC 25-2-B::C1-G1,,IR 57920-AC-25-2-B,,Philippines,IRGC 122098,IR 57920-AC 25-2-B::C1,,,,Indica,ERS468570,
819,IRRI,IRIS 313-7728,MAMORIAKA 114::GERVEX 5176-C1-G1,,MAMORIAKA 114,,Madagascar,IRGC 122159,MAMORIAKA 114::GERVEX 5176-C1,,,,Indica,ERS468571,
820,IRRI,IRIS 313-7690,IR 2344-P1 PB-9-3-2B::IRGC 39317-C1-G1,IRGC 39317,IR 2344-P1 PB-9-3-2B,,Philippines,IRGC 122093,IR 2344-P1 PB-9-3-2B::IRGC 39317-C1,,,,Indica,ERS468572,
821,IRRI,IRIS 313-7636,ADNY 11::C1-G1,,ADNY 11,,Mali,IRGC 126992,ADNY 11::C1,,,,Indica,ERS468573,
822,IRRI,IRIS 313-7720,LAITRA::GERVEX 8400-C1-G1,,LAITRA,,Madagascar,IRGC 124405,LAITRA::GERVEX 8400-C1,,,,Indica,ERS468574,
823,IRRI,IRIS 313-7773,SEBERANG MR 77::C1-G1,,SEBERANG MR77,,Mali,IRGC 124421,SEBERANG MR 77::C1,,,,Indica,ERS468575,
824,IRRI,IRIS 313-7689,IR 2307-247-2-2-3::IRGC 77982-C1-G1,,IR 2307-247-2-2-3,,Philippines,IRGC 122092,IR 2307-247-2-2-3::IRGC 77982-C1,,,,Indica,ERS468576,
825,IRRI,IRIS 313-7651,BOTRA MAITSO::GERVEX 8389-C1-G1,,BOTRA MAITSO,,Madagascar,IRGC 121990,BOTRA MAITSO::GERVEX 8389-C1,,,,Indica,ERS468577,
826,IRRI,IRIS 313-7696,IR 55411-50::IRTP 16682-C1-G1,,IR 55411-50,,Philippines,IRGC 124394,IR 55411-50::IRTP 16682-C1,,,,Indica,ERS468578,
827,IRRI,IRIS 313-7654,BOUAKE 189::C1-G1,,BOUAKE 189,,Ivory Coast,IRGC 126997,BOUAKE 189::C1,,,,Indica,ERS468579,
828,IRRI,IRIS 313-7770,SAMBALA MALO::C1-G1,,SAMBALA MALO,,Mali,IRGC 122239,SAMBALA MALO::C1,,,,Indica,ERS468580,
829,IRRI,IRIS 313-7769,SALUMPIKIT::IRTP 4777-C1-G1,,SALUMPIKIT,,Philippines,IRGC 122236,SALUMPIKIT::IRTP 4777-C1,,,,Indica,ERS468581,
830,IRRI,IRIS 313-7685,IR 19746-28-2-2::IRGC 78072-C1-G1,,IR 19746-28-2-2,,Philippines,IRGC 122089,IR 19746-28-2-2::IRGC 78072-C1,,,,Indica,ERS468582,
831,IRRI,IRIS 313-7824,WAS 21-B-B-20-4-3-3::C1-G1,,WAS 21-B-B-20-4-3-3,,Senegal,IRGC 122291,WAS 21-B-B-20-4-3-3::C1,,,,Indica,ERS468583,
832,IRRI,IRIS 313-7650,BOTOHAVANA 139::GERVEX 8237-C1-G1,,BOTOHAVANA 139,,Madagascar,IRGC 124380,BOTOHAVANA 139::GERVEX 8237-C1,,,,Indica,ERS468584,
833,IRRI,IRIS 313-7815,WAS 198-B-3-1-3::C1-G1,,WAS 198-B-3-1-3,,Senegal,IRGC 122287,WAS 198-B-3-1-3::C1,,,,Indica,ERS468585,
834,IRRI,IRIS 313-7778,SOM CAU 70 A::IRGC 8227-C1-G1,,SOMCAU 70 A,,Vietnam,IRGC 122254,SOM CAU 70 A::IRGC 8227-C1,,,,Indica,ERS468586,
835,IRRI,IRIS 313-7792,TSIPALA 1231::GERVEX 8418-C1-G1,,TSIPALA 1231,,Madagascar,IRGC 124425,TSIPALA 1231::GERVEX 8418-C1,,,,Indica,ERS468587,
836,IRRI,IRIS 313-7820,WAS 206-B-B-2-2-1::C1-G1,,WAS 206-B-B-2-2-1,,Senegal,IRGC 122290,WAS 206-B-B-2-2-1::C1,,,,Indica,ERS468588,
837,IRRI,IRIS 313-7641,B 6144-MR-6-0-0::C1-G1,,B 6144-MR-6-0-0,,Indonesia,IRGC 121974,B 6144-MR-6-0-0::C1,43634776,43634776,9.1,Indica,ERS468589,
838,IRRI,IRIS 313-7797,UPL RI 7::IRTP 9897-C1-G1,,UPL RI-7,,Philippines,IRGC 122272,UPL RI 7::IRTP 9897-C1,,,,Intermediate type,ERS468590,
839,IRRI,IRIS 313-7766,SAHEL 108::C1-G1,,SAHEL 108,,Senegal,IRGC 122232,SAHEL 108::C1,,,,Indica,ERS468591,
840,IRRI,IRIS 313-7646,BETSILAIZINA::GERVEX 8405-C1-G1,,BETSILAIZINA,,Madagascar,IRGC 124378,BETSILAIZINA::GERVEX 8405-C1,,,,Tropical japonica,ERS468592,
841,IRRI,IRIS 313-7758,ROJOKELY::GERVEX 8410-C1-G1,,ROJOKELY,,Madagascar,IRGC 122220,ROJOKELY::GERVEX 8410-C1,,,,Indica,ERS468593,
842,IRRI,IRIS 313-7922,IRAT 234::C1-G1,,IRAT 234,,French Guiana,IRGC 122119,IRAT 234::C1,,,,Tropical japonica,ERS468594,
843,IRRI,IRIS 313-7664,CICA 8::C1-G1,,CICA 8,,Colombia,IRGC 122011,CICA 8::C1,,,,Tropical japonica,ERS468595,
